sample	metabolite	derivative	isotopologue	area
Sample_1	acetylcoa		0	7.12457399255692
Sample_1	acetylcoa		1	2.19712317317349
Sample_1	acetylcoa		2	8.34842536243061
Sample_1	acetylcoa		3	2.26111562304151
Sample_1	acetylcoa		4	0.208276187024454
Sample_1	acetylcoa		5	3.8656395798888
Sample_1	acetylcoa		6	1.89851641569805
Sample_1	acetylcoa		7	4.99894211799235
Sample_1	acetylcoa		8	1.85332381857933
Sample_1	acetylcoa		9	0.796301992755444
Sample_1	acetylcoa		10	0.165828247958006
Sample_1	acetylcoa		11	0.329161562634864
Sample_1	acetylcoa		12	0.225095165094794
Sample_1	acetylcoa		13	0.00366426499689
Sample_1	acetylcoa		14	0
Sample_1	acetylcoa		15	0.001799563161894
Sample_1	acetylcoa		16	0.001349376423385
Sample_1	acetylcoa		17	0.016268748111678
Sample_1	acetylcoa		18	0.004292100592116
Sample_1	acetylcoa		19	0.019226378090814
Sample_1	acetylcoa		20	0
Sample_1	acetylcoa		21	0
Sample_1	acetylcoa		22	0
Sample_1	acetylcoa		23	0
